date,device_area,component,pin,measured_voltage_v,condition,source_note
2026-06-21,frontend,LSK389/1227F,1,0.12,recorded before folder organization,docs/repair_status.md
2026-06-21,frontend,LSK389/1227F,2,3.87,recorded before folder organization,docs/repair_status.md
2026-06-21,frontend,LSK389/1227F,3,0,recorded before folder organization,docs/repair_status.md
2026-06-21,frontend,LSK389/1227F,4,0,recorded before folder organization,docs/repair_status.md
2026-06-21,frontend,LSK389/1227F,5,0.20,recorded before folder organization,docs/repair_status.md
2026-06-21,frontend,LSK389/1227F,6,4.68,recorded before folder organization,docs/repair_status.md
2026-06-21,frontend,LSK389/1227F,7,0,recorded before folder organization,docs/repair_status.md
2026-06-21,frontend,LSK389/1227F,8,0,recorded before folder organization,docs/repair_status.md
2026-06-21,frontend,H2P,1,-0.97,recorded before folder organization,docs/repair_status.md
2026-06-21,frontend,H2P,2,3.87,recorded before folder organization,docs/repair_status.md
2026-06-21,frontend,H2P,3,3.87,recorded before folder organization,docs/repair_status.md
2026-06-21,frontend,H2P,4,4.60,recorded before folder organization,docs/repair_status.md
2026-06-21,frontend,H2P,5,4.12,recorded before folder organization,docs/repair_status.md
2026-06-21,frontend,H2P,6,4.62,recorded before folder organization,docs/repair_status.md
2026-06-21,frontend,H2P,7,0.30,recorded before folder organization,docs/repair_status.md
2026-06-21,frontend,H2P,8,5.40,recorded before folder organization,docs/repair_status.md
2026-06-21,frontend,B8A,1,1.26,recorded before folder organization,docs/repair_status.md
2026-06-21,frontend,B8A,2,1.26,recorded before folder organization,docs/repair_status.md
2026-06-21,frontend,B8A,3,1.26,recorded before folder organization,docs/repair_status.md
2026-06-21,frontend,B8A,4,-5.53,recorded before folder organization,docs/repair_status.md
2026-06-21,frontend,B8A,5,1.26,recorded before folder organization,docs/repair_status.md
2026-06-21,frontend,B8A,6,1.26,recorded before folder organization,docs/repair_status.md
2026-06-21,frontend,B8A,7,1.26,recorded before folder organization,docs/repair_status.md
2026-06-21,frontend,B8A,8,5.40,recorded before folder organization,docs/repair_status.md
